"愛","あい","love, affection, care; attachment, craving, desire; agape; Ireland"
"厄介","やっかい","trouble, burden, nuisance, bother, worry; care, dependence, support, kindness, obligation, staying (with a person)"
"雇う","やとう","to employ, to hire, to take on; to charter (a car, boat, etc.), to hire"
"宿","やど","lodging, inn, hotel; house, home, dwelling; home of a servant's parents (or guarantor, etc.)"
"屋根","やね","roof"
"矢張り","やはり","as expected, sure enough, just as one thought; after all (is said and done), in the end, as one would expect, in any case; too, also, as well, likewise, (not) either; still, as before; all the same, even so, still, nonetheless"
"破る","やぶる","to tear, to rip, to break, to destroy; to break through (cordon, opponent's defense, etc.), to breach; to defeat, to beat; to break (e.g. silence), to disturb (e.g. peace), to shatter (e.g. dream), to disrupt, to spoil; to violate (e.g. rule), to break (e.g. promise), to infringe; to break (a record)"
"辞める","やめる","to resign, to retire, to quit, to leave (one's job, etc.)"
"稍","やや","a little, partially, somewhat, slightly, semi-, -ish, on the ... side, a short time, a while"
"唯一","ゆいいつ, ゆいつ, ゆういつ","only, sole, unique"
"勇気","ゆうき","courage, bravery, valour, valor, nerve, boldness"
"有効","ゆうこう","valid, effective; yuko (judo)"
"優秀","ゆうしゅう","superior, excellent, brilliant, outstanding"
"優勝","ゆうしょう","overall victory, championship, winning the title; (being in) heaven, bliss, perfect contentment"
"友情","ゆうじょう","friendship, fellowship, camaraderie"
"友人","ゆうじん","friend"
"有能","ゆうのう","able, capable, competent, talented, efficient"
"郵便","ゆうびん","mail service, postal service, mail, post; mail, postal matter, postal items"
"夕べ","ゆうべ","evening; evening (of a special event); last night, yesterday evening"
"有利","ゆうり","advantageous, favourable, better, stronger; profitable, lucrative, gainful, paying"
"床","ゆか","floor; stage (for the narrator and the shamisen player); dining platform built across a river"
"愉快","ゆかい","pleasant, delightful, enjoyable, joyful, cheerful, amusing, happy"
"輸出","ゆしゅつ, しゅしゅつ","export, exportation; efferent"
"譲る","ゆずる","to hand over, to transfer, to turn over, to assign, to convey, to bequeath; to give up (e.g. one's seat), to give way; to yield, to concede, to give ground, to surrender; to sell; to postpone, to put off, to defer"
"豊か","ゆたか","abundant, plentiful, rich, ample; rich, wealthy, affluent, well-off; open (mind), relaxed, easy; plump (e.g. breasts), full, ample; (well) over, (easily) in excess of"
"","ゆっくり","slowly, unhurriedly, without haste, leisurely, at one's leisure; easily (e.g. in time), well, sufficiently, amply, with time to spare; well (e.g. sleep), comfortably"
"輸入","ゆにゅう, しゅにゅう","import, importation, introduction; afferent"
"許す","ゆるす","to permit, to allow, to approve, to consent to; to forgive, to pardon, to excuse, to tolerate; to exempt (someone) from, to remit, to release, to let off; to acknowledge, to admit; to trust, to confide in, to let one's guard down; to give up (points in a game, distance in a race, etc.), to yield"
"","ユーモア, ヒューモア","humor, humour, joke"
"夜明け","よあけ","dawn, daybreak"
"良い","よい, えい","good, excellent, fine, nice, pleasant, agreeable; sufficient, enough, ready, prepared; profitable (deal, business offer, etc.), beneficial; OK, all right, fine, no problem; easy to ..."
"酔う","よう, えう","to get drunk, to become intoxicated; to feel sick (e.g. in a vehicle), to become nauseated; to be elated, to be exalted, to be spellbound, to be in raptures"
"様","よう","appearing ..., looking ...; way to ..., method of ...ing; form, style, design; like, similar to; thing (thought or spoken)"
"容易","ようい","easy, simple, plain"
"陽気","ようき","cheerful, jovial, merry, lively; weather, season; spirit of yang"
"要求","ようきゅう","demand, firm request, requisition, requirement, desire"
"用心","ようじん","care, precaution, guarding, caution"
"様子","ようす","state (of affairs), situation, circumstances; appearance, look(s), air, manner, behaviour, demeanor; sign, indication"
"要するに","ようするに","in short, in a word, to sum up, to put it simply, to make a long story short, after all"
"要素","ようそ","component, factor, item (e.g. in list); element (e.g. in array), member (e.g. data structure)"
"要点","ようてん","gist, main point"
"曜日","ようび","day of the week"
"予期","よき","expectation, anticipation, forecast"
"横切る","よこぎる","to cross (e.g. road), to traverse"
"予算","よさん","estimate (of costs), budget"
"止す","よす","to stop (doing), to cease, to desist, to drop, to lay off, to give up, to quit"
"予測","よそく","prediction, estimation"
"","ヨット","yacht (esp. a sailing boat with one mast), sailing boat, sailboat"
"夜中","よなか","middle of the night, dead of night"
"世の中","よのなか","society, the world, the times"
"余分","よぶん","extra, excess, surplus"
"予報","よほう","forecast, prediction"
"予防","よぼう","prevention, protection (against), precaution"
"読み","よみ","reading; reading (of a kanji, esp. kun reading); reading (e.g. of a situation), insight, judgment, interpretation, prediction, calculation"
"嫁","よめ","bride; (one's) daughter-in-law; wife"
"余裕","よゆう","surplus, margin, leeway, room, space, time, allowance, flexibility, scope; composure, placidity, complacency, calm"
"縒り","より","twist, ply"
"夜","よる, よ","night, evening; dinner"
"喜び","よろこび","joy, delight, rapture, pleasure, gratification, rejoicing, congratulations, felicitations"
"宜しい","よろしい","good, OK, all right, fine, very well, will do, may, can"
"宜しく","よろしく","well, properly, suitably; best regards, please remember me, please treat me favorably (favourably), please take care of, please do; just like ..., as though one were ...; by all means, of course"
"欧羅巴","ヨーロッパ, ヨーロパ, ヨオロッパ, ヨオロツパ","Europe"
"来","らい","next (year, spring, etc.), coming; since (e.g. last month), for (e.g. 20 years)"
"","ライター, ライタ","lighter"
"楽","らく","comfort, ease, relief, (at) peace, relaxation; easy, simple, without trouble, without hardships; (economically) comfortable; raku pottery; sukha (happiness)"
"","ラケット","racket, paddle (in table-tennis)"
"利益","りえき, りやく","profit, gains; benefit, advantage, good, interests (e.g. of society); grace (of God, Buddha, etc., esp. as attained through rightful actions, prayer, adherence to one's faith, etc.), blessing, miracle"
"理解","りかい","understanding, comprehension, appreciation; sympathy"
"陸","りく, おか","land, shore"
"利口","りこう","clever, intelligent, bright, smart, wise, sensible, shrewd; well-behaved (esp. of children and pets), obedient, good"
"離婚","りこん","divorce"
"理想","りそう","ideal, ideals"
"立派","りっぱ","splendid, fine, handsome, elegant, imposing, prominent, impressive; praiseworthy, creditable, worthy; legal, legitimate, lawful; undeniable (e.g. crime), indisputable, solid"
"率","りつ","rate, ratio, proportion, percentage"
"留学","りゅうがく","studying abroad; (temporarily) studying at another school (to learn a specific skill)"
"流行","りゅうこう","fashion, trend, vogue, craze, fad, popularity; prevalence (of a disease), epidemic"
"量","りょう","quantity, amount, volume, capacity, portion (of food); generosity, magnanimity, tolerance; pramana (means by which one gains accurate and valid knowledge; in Indian philosophy)"
"両替","りょうがえ","change, money exchange"
"料金","りょうきん","fee, charge, fare"
"礼","れい","thanks, gratitude; manners, etiquette; bow (i.e. bending of the body), bowing; reward, gift; ceremony, ritual; key money"
"例","れい","example, instance, illustration, case; precedent; custom, habit, practice, usage"
"礼儀","れいぎ","manners, courtesy, etiquette"
"冷静","れいせい","calmness, composure, coolness, serenity, presence of mind"
"列車","れっしゃ","train, railway train"
"列","れつ","row, line, file, column, queue, rank, procession; company (of someone), group, ranks; sequence; counter for rows"
"","レポート, リポート","report, paper; reportage"
"練習","れんしゅう","practice, training, drill, (an) exercise, workout"
"連想","れんそう","association (of ideas), being reminded (of something), suggestion"
"連続","れんぞく","continuation, succession, series"
"老人","ろうじん","old person, senior citizen, the aged, the elderly"
"労働","ろうどう","labor, labour, work; Labour Party"
"","ロケット","locket"
"論じる","ろんじる","to discuss, to talk about, to deal with (a topic); to argue, to dispute; to take into consideration, to make an issue of"
"論争","ろんそう","dispute, controversy, debate, argument, taking issue"
"論文","ろんぶん","thesis, essay, treatise, paper, article"
"輪","わ","ring, circle, loop; hoop; wheel; circle (e.g. of friends); planetary ring"
"羽","わ, ば, ぱ","counter for birds or rabbits"
